Category ID	Category Name	Number	Name
67	Town / Classic Town / Race	1096-1	Race Buggy
67	Town / Res-Q	1097-1	Res-Q Runner
67	Town / Extreme Team	1098-1	Hang Glider
284	Ninja	1099-1	Ninja Blaster
63	Service Packs	1101-1	Replacement 4.5V Motor
63	Service Packs / Train	1102-1	Motor Bushes
63	Service Packs / Train	1107-1	Signal and Direction-Change Switch
63	Service Packs / Train	1109-1	Magnetic Couplings for Railway Car
124	Train / 4.5V	111-2	Starter Train Set without Motor
63	Service Packs / Train	1110-1	Train Wheels
124	Train / 4.5V	112-2	Locomotive with Motor
124	Train / 4.5V	113-2	Motorized Train Set
63	Service Packs / Train	1134-1	Battery Wagon
63	Service Packs	1135-1	Battery Cable Kit: 12 Connectors, 3m Cable
63	Service Packs / Train	1136-1	Buffers, Magnetic Couplers
63	Service Packs / Train	1137-1	Train Couplings
63	Service Packs / Train	1138-1	Replacement Rubber Wheel Treads for Trains
63	Service Packs / Train	1139-1	Motor-Mount Plate with Magnetic Couplers
124	Train / 4.5V	114-2	Small Train Set
63	Service Packs	1140-1	12V Light Bricks
63	Service Packs / Train	1141-1	Wheel Bricks with Small Red Train Wheels
63	Service Packs / Train	1142-1	Wheel Bricks with Small Black Train-Wheels
63	Service Packs / Train	1143-1	Wheel Bricks with Large Red Train Wheels
63	Service Packs / Train	1144-1	Train Baseplate
63	Service Packs / Train	1145-1	Bogie Plate
63	Service Packs / Train	1146-1	Pushrods, Cylinder Housings
63	Service Packs / Train	1147-1	Light Prisms & Holder, Red/Yellow Light Covers
124	Train / 4.5V	115-2	Starter Train Set with Motor
124	Train / 4.5V	116-1	Starter Train Set with Motor
124	Train / 4.5V	117-1	Locomotive without Motor
63	Service Packs / Train	1170-1	Replacement Train Battery Tender
124	Train / 4.5V	118-1	Electronic Train
67	Town / Space Port	1180-1	Space Port Moon Buggy
67	Town / Space Port	1181-1	Space Port Spacecraft
53	Adventurers / Desert	1182-1	Adventurers Raft
53	Adventurers / Desert	1183-1	Mummy and Cart
284	Ninja	1184-1	Cart
284	Ninja	1185-1	Raft
284	Ninja	1186-1	Cart
284	Ninja	1187-1	Glider
67	Town / Extreme Team	1188-1	Fire Formula
67	Town / Extreme Team	1189-1	Rocket Boat
124	Train / 4.5V	119-1	Super Train Set
67	Town / Extreme Team	1190-1	Retro Buggy
67	Town / Extreme Team	1191-1	Try Bird
67	Town	1196-1	Biker with Bicycle
67	Town	1197-1	Telekom Race Cyclist and Television Motorbike
67	Town	1198-1	Service Team - 2 Bikers with Service Tools
67	Town	1199-1	Winning Team
124	Train / 4.5V	120-1	Complete Freight Train Set with Tipper Trucks
153	Fabuland	121-1	Roadster
124	Train / 4.5V	122-1	Loco and Tender
124	Train / 4.5V	123-1	Passenger Coach
124	Train / 4.5V	124-1	Goods Wagon
67	Town / Classic Town / Police	1246-1	Helicopter
67	Town / Classic Town / Police	1247-1	Patrol Car
67	Town / Classic Town / Fire	1248-1	Fire Boat
67	Town / Classic Town / Hospital	1249-1	Tri-motorbike
124	Train / 4.5V	125-1	Tipping Wagon
67	Town / Classic Town / Race	1250-1	Dragster
67	Town / Classic Town / Race	1251-1	Go-Cart
67	Town / Town Jr. / Gas Station	1252-1	Shell Tanker
67	Town / Town Jr. / Gas Station	1253-1	Shell Car Transporter
67	Town / Town Jr. / Gas Station	1254-1	Shell Select Shop
67	Town / Town Jr. / Gas Station	1255-1	Shell Car Wash
67	Town / Town Jr. / Gas Station	1256-1	Shell Petrol Pump
36	Technic / Model / Riding Cycle	1257-1	Tricycle
36	Technic / Model / Off-Road	1258-1	Buggy
36	Technic / Model / Riding Cycle	1259-1	Motorbike
124	Train / 4.5V	126-1	Steam Locomotive (Push)
36	Technic / Model / Race	1260-1	Car
67	Town / Space Port	1265-1	Moon Buggy
36	Technic / Model / Riding Cycle	1268-1	Bike Blaster
284	Ninja	1269-1	White Ninja
124	Train / 4.5V	127-1	Train Set
53	Adventurers / Jungle	1271-1	Jungle Surprise
67	Town / Race	1272-1	Turbo Racer
67	Town / Race	1273-1	Rough Rider
62	Rock Raiders	1274-1	Light Hover
62	Rock Raiders	1275-1	Chain Dozer
62	Rock Raiders	1276-1	Helicopter Transport
62	Rock Raiders	1277-1	Drill Craft
53	Adventurers / Dino Island	1278-1	Johnny Thunder & Baby T
53	Adventurers / Dino Island	1279-1	Aeroplane
153	Fabuland	128-1	Taxi Station
53	Adventurers / Dino Island	1280-1	Microcopter
53	Adventurers / Dino Island	1281-1	Aeroplane
67	Town / Race	1282-1	Blue Racer
67	Town / Race	1283-1	Red Scorpion
67	Town / Race	1284-1	Green Buggy
9	Castle / Knights Kingdom I	1286-1	King Leo's Cart
9	Castle / Knights Kingdom I	1287-1	Crossbows
9	Castle / Knights Kingdom I	1288-1	Fire Cart
9	Castle / Knights Kingdom I	1289-1	Catapult
124	Train / 4.5V	128-2	Mobile Crane (Train Base)
124	Train / 4.5V	130-1	Wagon with Double Tippers
124	Train / 4.5V	131-1	Passenger Coach
153	Fabuland	132-1	Cottage
124	Train / 4.5V	132-2	Port Crane and Flat Waggon
124	Train / 4.5V	133-1	Locomotive (Push)
153	Fabuland	134-2	Service Station
124	Train / 4.5V	134-1	Mobile Crane and Waggon
124	Train / 4.5V	136-1	Tanker Waggon (Shell)
124	Train / 4.5V	137-2	Passenger Sleeping Car
153	Fabuland / Hospital	137-1	Hospital
124	Train / 4.5V	138-1	Electronic Train
124	Train / Supplemental / 4.5V	139-1	Electronic Control Unit (Forward/Backward - Stop)
153	Fabuland	140-1	Town Hall
124	Train / 4.5V	146-1	Level Crossing
67	Town / Classic Town / Race	1461-1	Turbo Force polybag
34	Space / Blacktron II	1462-1	Galactic Scout polybag
9	Castle / Crusaders	1463-1	Treasure Cart polybag
61	Pirates / Pirates I	1464-1	Pirate Lookout polybag
67	Town / Classic Town / Race	1467-1	Shell Race Car polybag
422	Universal Building Set / Airport	1469-1	Helicopter polybag
124	Train / 4.5V	147-1	Refrigerated Car with Forklift
67	Town / Classic Town / Airport	1475-1	Airport Security Squad
290	Value Packs	1476-1	5 Set Bonus Pack
67	Town / Classic Town / Race	1477-1	{Red Race Car Number 3}
34	Space / M:Tron	1478-1	Mobile Satellite Up-Link
34	Space / Blacktron II	1479-1	2-Pilot Craft
124	Train / 4.5V	148-1	Central Station
9	Castle / Crusaders	1480-1	King's Catapult
61	Pirates / Pirates I	1481-1	Desert Island
67	Town / Classic Town / Building	1484-1	Weetabix Town House
67	Town / Classic Town / Wrecker	1489-1	Mobile Car Crane
124	Train / 4.5V	149-1	Fuel Refinery
67	Town / Classic Town / Traffic	1490-1	Town Bank
9	Castle / Black Knights	1491-1	Dual Defender polybag
61	Pirates / Pirates I	1492-1	Battle Cove polybag
67	Town / Classic Town / Race	1496-1	Rally Car
67	Town / Classic Town / Race	1497-1	Rally and Pitcrew Team
34	Space / Classic Space	1498-1	Spy-Bot
34	Space / Classic Space	1499-1	Twin Starfire
124	Train / Supplemental / 4.5V	150-1	Straight Track
34	Space / Classic Space	1507-1	Space Value Pack
124	Train / Supplemental / 4.5V	151-1	Curved Track
34	Space / Classic Space	1510-1	Space Value Pack
67	Town / Classic Town / Race	1517-1	Race Car
67	Town / Classic Town / Race	1518-1	Race Car Repair
124	Train / 4.5V	152-1	Two Train Wagons
67	Town / Classic Town / Cargo	1525-1	Container Lorry
67	Town / Classic Town / Race	1528-1	Dragster
124	Train / 4.5V	153-1	Large Train Wagon
124	Train / Supplemental / 4.5V	154-1	Switch Track - 1 Right and 1 Left
9	Castle / Black Knights	1547-1	Black Knights Boat
124	Train / Supplemental / 4.5V	155-1	2 Cross Rails, 8 Straight Tracks, 4 Base Plates
34	Space / Classic Space	1557-1	Scooter
34	Space / Classic Space	1558-1	Mobile Command Trailer
124	Train / Supplemental / 4.5V	156-2	Straight Track
67	Town / Classic Town / Airport	1560-1	Glory Glider polybag
67	Town / Classic Town / Airport	1561-1	Stunt Chopper polybag
67	Town / Classic Town / Harbor	1562-1	Wave Jumper polybag
67	Town / Classic Town / Race	1563-1	Track Blaster polybag
124	Train / Supplemental / 4.5V	156-1	2 Signals with Automatic Stop / Go Attachment
124	Train / Supplemental / 4.5V	157-1	Curved Track
67	Town / Classic Town / Wrecker	1572-1	Super Tow Truck
124	Train / Supplemental / 4.5V	157-2	Automatic Direction Changer
124	Train / Supplemental / 4.5V	158-1	Railroad Crossing Gate
34	Space / Classic Space	1580-1	Lunar Scout
9	Castle / Lion Knights	1584-1	Knights Challenge
124	Train / Supplemental / 4.5V	159-1	Crossover, Straight Rails
67	Town / Classic Town / Traffic	1590-2	ANWB Breakdown Assistance
67	Town / Classic Town / Food & Drink	1591-1	Danone Truck
67	Town / Classic Town / Traffic	1592-1	Town Square - Castle Scene
34	Space / Classic Space	1593-1	Super Model
9	Castle / Wolfpack	1596-1	Ghostly Hideout
9	Castle	1597-1	Castle 3-Pack
124	Train / Supplemental / 4.5V	160-1	Magnetic Couplings
124	Train / Supplemental / 4.5V	161-1	Battery Wagon with Signal and Direction - Changing
67	Town / Classic Town / Police	1610-1	Police Car
67	Town / Classic Town / Off-Road	1611-1	Dune Buggy
67	Town / Classic Town / Race	1612-1	Victory Racer (Race Car) polybag
34	Space / Futuron	1616-1	Space Combi-Pack
124	Train / 4.5V	162-1	Locomotive without Motor
67	Town / Classic Town / Food & Drink	1620-2	Factory
34	Space / Futuron	1620-1	Astro Dart
34	Space / Futuron	1621-1	Lunar MPV Vehicle
9	Castle / Black Knights	1624-1	King's Archer
124	Train / 4.5V	163-1	Cargo Wagon
67	Town / Classic Town / Airport	1630-1	Helicopter
67	Town / Classic Town / Race	1631-1	Black Racer
67	Town / Classic Town / Harbor	1632-1	Motor Boat
67	Town / Classic Town / Construction	1633-1	Loader Tractor
124	Train / 4.5V	164-1	Passenger Wagon
124	Train / 4.5V	165-1	Cargo Station (Goods Station)
67	Town / Classic Town / Cargo	1651-2	Maersk Line Container Truck
67	Town / Classic Town / Fire	1656-1	Evacuation Team
124	Train / 4.5V	166-1	Flat Wagon
67	Town / Classic Town / Race	1665-1	Dual FX Racers
124	Train / 4.5V	167-1	Loading Ramp and Car Transport Wagon
290	Value Packs	1675-1	Legoland Triple Pack
9	Castle / Forestmen	1680-1	Hay Cart with Smugglers
67	Town / Classic Town / Airport	1682-1	Space Shuttle
67	Town / Classic Town / Airport	1687-1	Midnight Transport
67	Town / Classic Town / Race	1693-1	Turbo Force
34	Space / Blacktron II	1694-1	Galactic Scout
9	Castle / Crusaders	1695-1	Treasure Chest
61	Pirates / Pirates I	1696-1	Pirate Lookout
124	Train / 4.5V	170-1	Push Along Play Train
67	Town / Classic Town / Fire	1702-1	Fire Fighter 4 x 4
34	Space / Ice Planet 2002	1704-1	{Unknown - Ice Planet Satellite Plow ?}
124	Train / 4.5V	171-1	Complete Train Set Without Motor
67	Town / Classic Town / Off-Road	1710-1	Snowmobile polybag
34	Space / Ice Planet 2002	1711-1	Ice Planet Scooter polybag
9	Castle / Dragon Knights	1712-1	Crossbow Cart polybag
61	Pirates / Pirates I	1713-1	Shipwrecked Pirate polybag
34	Space / Spyrius	1714-1	Surveillance Scooter polybag
67	Town / Classic Town / Recreation	1720-1	Cactus Canyon Value Pack
67	Town / Classic Town / Recreation	1721-1	Sandypoint Marina Value Pack
290	Value Packs	1722-1	Rescue / Ice Planet Combo Pack
290	Value Packs	1723-1	Castle / Pirates Combi Pack
54	Aquazone / Aquanauts	1728-1	Crystal Crawler {with Aqua Playscape}
61	Pirates / Pirates I	1729-1	Barnacle Bay Value Pack
67	Town / Classic Town / Off-Road	1730-1	Snow Scooter
34	Space / Ice Planet 2002	1731-1	Ice Planet Scooter
9	Castle / Dragon Knights	1732-1	Crossbow Cart
61	Pirates / Pirates I	1733-1	Shipwrecked Pirate
9	Castle / Dragon Knights	1736-1	Wizard's Cart
34	Space / Exploriens	1737-1	Scorpion Detector
67	Town / Classic Town / Recreation	1740-1	{Kayak}
67	Town / Classic Town / Recreation	1741-1	{ATV}
67	Town / Classic Town / Recreation	1742-1	{SUV}
9	Castle / Dragon Knights	1746-1	Wiz the Wizard polybag
61	Pirates / Pirates I	1747-1	Treasure Surprise
54	Aquazone / Aquanauts	1749-1	Paravane
9	Castle / Royal Knights	1752-1	Boat with Armor
67	Town / Classic Town / Race	1760-1	Go-Cart
67	Town / Paradisa	1761-1	Paradisa Speedboat
67	Town / Classic Town / Race	1762-1	Go-Cart polybag
67	Town / Classic Town / Airport	1772-1	Airport Container Truck
67	Town / Classic Town / Airport	1773-1	Airline Maintenance Vehicle with Trailer
67	Town / Classic Town / Airport	1774-1	Aircraft
67	Town / Classic Town / Airport	1775-1	Jet
67	Town / Divers	1782-1	Discovery Station
34	Space	1785-1	Introducing Crater Critters
67	Town / Classic Town / Police	1786-1	Jailbreak Joe
34	Space / Unitron	1787-1	Crater Cruiser
61	Pirates / Pirates I	1788-1	Pirate Treasure Chest
34	Space / Unitron	1789-1	Star Hawk II
67	Town / Classic Town / Recreation	1790-1	Shark Fisherman
67	Town / Classic Town / Recreation	1791-1	Windsurfer & Van
67	Town / Classic Town / Recreation	1792-1	Pleasure Cruiser
34	Space / Unitron	1793-1	Space Station Zenon
9	Castle / Dragon Knights	1794-1	Dragon Master Chariot
61	Pirates / Pirates I / Imperial Guards	1795-1	Imperial Cannon
124	Train / 4.5V	180-1	Train with 5 Wagons and Circle of Track
61	Pirates / Pirates I	1802-1	Tidy Treasure polybag
9	Castle / Royal Knights	1804-1	Crossbow Boat polybag
54	Aquazone / Aquanauts	1806-1	Underwater Scooter polybag
390	Holiday & Event / Christmas	1807-1	Santa Claus and Sleigh polybag
67	Town / Classic Town / Airport	1808-1	Light Aircraft and Ground Support
124	Train / 4.5V	181-1	Complete Train Set with Motor, Signals and Switch
67	Town / Paradisa	1815-1	Paradisa Lifeguard
67	Town / Classic Town / Recreation	1817-1	Sea Plane with Hut and Boat
67	Town / Classic Town / Airport	1818-1	Aircraft and Ground Support Equipment and Vehicle
124	Train / 4.5V	182-1	Train Set with Signal
67	Town / Classic Town / Race	1821-1	Rally Racers
54	Aquazone / Aquanauts	1822-1	Sea Claw 7 / Neptune III
124	Train / 4.5V	183-1	Complete Train Set with Motor and Signal
67	Town / Classic Town / Cargo	1831-1	Maersk Line Container Lorry
290	Value Packs	1843-1	Space / Castle Value Pack
157	Time Cruisers / Twisters	1853-1	Navigator
67	Town / Classic Town / Building	1854-1	House with Roof-Windows ( Velux )
34	Space / Exploriens	1858-1	Droid Scout
61	Pirates / Pirates I	1871-1	Pirates Cannon
61	Pirates / Pirates I / Imperial Guards	1872-1	Imperial Guard Camp
61	Pirates / Pirates I	1873-1	Pirate Treasure
34	Space / Blacktron I	1875-1	Meteor Monitor
67	Town / Classic Town / Traffic	1876-1	Soil Scooper
9	Castle / Forestmen	1877-1	Crusader's Cart
34	Space / Blacktron II	1887-1	Scout Patrol Ship
9	Castle / Black Knights	1888-1	Black Knights Guardshack
61	Pirates / Pirates I	1889-1	Pirate's Treasure Hold
67	Town / Classic Town / Race	1890-1	Octan Racer
290	Value Packs	1891-1	4 Set Value Pack
67	Town / Classic Town / Police	1895-1	Sky Patrol
67	Town / Classic Town / Hospital	1896-1	Trauma Team
67	Town / Classic Town / Race	1898-1	Weetabix Dragster polybag
67	Town / Classic Town / Race	1899-1	Weetabix Racer polybag
63	Service Packs / DUPLO	19-1	Farm Family
9	Castle / Dragon Knights	1906-1	Majisto's Tower
34	Space / Space Police II	1916-1	Starion Patrol
9	Castle / Black Knights	1917-1	King's Catapult
36	Technic / Expert Builder	1924-1	Motorcycle
67	Town / Classic Town / Food & Drink	1952-1	Dairy Tanker
34	Space / Spyrius	1954-1	Surveillance Scooter
67	Town / Classic Town / Recreation	1958-1	Windsurfer
67	Town / Classic Town / Airport	1959-1	Ultra-Light
67	Town / Classic Town / Traffic	1966-1	Car Repair Shop
290	Value Packs	1967-1	System Bonus Pack
34	Space / Classic Space	1968-1	{Unknown}
34	Space / Space Police II	1969-1	Mini Robot
61	Pirates / Pirates I	1970-1	Pirate's Gun Cart
9	Castle / Black Knights	1971-1	Black Knight's Battering Ram
36	Technic / Model / Race	1972-1	Go-Kart
67	Town / Classic Town / Airport	1973-1	Emirates Airliner
9	Castle / Forestmen	1974-3	Smuggler's Hayride
67	Town / Classic Town / Airport	1974-2	Flyercracker USA
34	Space / Futuron	1974-4	Star Quest
34	Space / Classic Space	1977-1	Space Value Pack
67	Town / Classic Town / Race	1990-1	F1 Race Car
67	Town / Classic Town / Race	1991-1	Racing Pickup
67	Town / Classic Town / Race	1992-1	Dragsters
67	Town / Classic Town / Race	1993-1	Race Value Pack
63	Service Packs / DUPLO	20-2	Farm Animals
63	Service Packs / DUPLO	21-1	Horses & Corral
124	Train / 9V	2126-1	Train Cars
36	Technic / Model / Race	2129-1	Blast-Off Dragster
67	Town / Classic Town / Traffic	2140-1	ANWB Roadside Assistance Crew
67	Town / Classic Town / Airport	2147-1	Dragon Fly
67	Town / Classic Town / Traffic	2148-1	LEGO Truck
67	Town / Classic Town / Cargo	2149-1	Color Line Container Lorry
124	Train / 9V	2150-1	Train Station
34	Space / RoboForce	2151-1	Robo Raider
34	Space / RoboForce	2152-1	Robo Raptor
34	Space / RoboForce	2153-1	Robo Stalker
34	Space / RoboForce	2154-1	Robo Master
422	Universal Building Set / Basic	2155-1	Aircraft (Kabaya Version)
422	Universal Building Set / Basic	2156-1	Car (Kabaya Version)
422	Universal Building Set / Basic	2157-1	Boat (Kabaya Version)
422	Universal Building Set / Basic	2158-1	Helicopter (Kabaya Version)
54	Aquazone / Aquaraiders I	2160-1	Crystal Scavenger
54	Aquazone / Aquaraiders I	2161-1	Aqua Dozer
54	Aquazone / Aquaraiders I	2162-1	Hydro Reef Wrecker
67	Town / Town Jr. / Traffic	2234-1	Police Chase
390	Holiday & Event / Advent	2250-1	Advent Calendar 2000
34	Space / Insectoids	2490-1	Insectoids Combi Set (Woolworth's UK promo)
67	Town / Classic Town / Recreation	2531-1	Rescue Helicopter and Jeep
67	Town / Classic Town / Airport	2532-1	Aircraft and Ground Crew
67	Town / Classic Town / Race	2535-1	Formula 1 Racing Car
67	Town / Divers	2536-1	Divers Jet Ski
67	Town / Extreme Team	2537-1	Extreme Team Raft
9	Castle / Fright Knights	2538-1	Fright Knights Fire Cart
9	Castle / Fright Knights	2539-1	Fright Knights Flying Machine
9	Castle / Fright Knights	2540-1	Fright Knights Catapult Cart
53	Adventurers / Desert	2541-1	Adventurer Car
53	Adventurers / Desert	2542-1	Adventurer Plane
34	Space / UFO	2543-1	Alien Space Plane
36	Technic / Model / Riding Cycle	2544-1	Motorcycle
67	Town / Classic Town / Race	2554-1	Formula 1 Pit Stop
48	Belville / Recreation	2555-1	Swing Set
60	Model Team	2556-1	Ferrari Formula 1 Racing Car
67	Town / Classic Town / Recreation	2769-1	Aircraft and Boat
67	Town / Classic Town / Airport	2774-1	Airshow (Red Tiger)
69	Western / Indians	2845-1	Indian Chief
69	Western / Indians	2846-1	Indian Kayak
34	Space / UFO	2847-1	Flyer
9	Castle / Fright Knights	2848-1	Fright Knights Flying Machine
67	Town / Classic Town / Airport	2849-1	Gyrocopter
36	Technic / Competition	2854-1	Bungee Chopper
48	Belville / Recreation	2858-1	Girl with Two Cats
67	Town / Paradisa	2870-1	Paradisa Barbeque
67	Town / Divers	2871-1	Diver and Shark
9	Castle / Fright Knights	2872-1	Witch and Fireplace
53	Adventurers / Desert	2879-1	Desert Expedition
67	Town / Classic Town / Traffic	2880-1	Open-Top Jeep
67	Town / Classic Town / Traffic	2881-1	Parking Gate Attendant
67	Town / Classic Town / Harbor	2882-1	Speedboat
67	Town / Classic Town / Harbor	2883-1	Boat
67	Town / Classic Town / Airport	2884-1	Microlight
67	Town / Classic Town / Food & Drink	2885-1	Ice Cream Seller
67	Town / Classic Town / Race	2886-1	Formula 1 Racing Car
67	Town / Classic Town / Gas Station	2887-1	Petrol Station Attendant and Pump
9	Castle / Crusaders	2889-1	Treasure Cart
9	Castle / Black Knights	2890-1	Stone Bomber
9	Castle / Dragon Knights	2891-1	Wizard Trader
9	Castle / Royal Knights	2892-1	Thunder Arrow Boat
67	Town / Res-Q	2962-1	Res-Q Lifeguard (Life Guard Res-Q)
67	Town / Extreme Team	2963-1	Extreme Racer
34	Space / Insectoids	2964-1	Space Spider
34	Space / Insectoids	2965-1	Hornet Scout
53	Adventurers / Desert	2995-1	Adventurers Car & Skeleton
53	Adventurers / Desert	2996-1	Adventurers Tomb (The Lost Tomb)
36	Technic / Model / Riding Cycle	3000-1	Trike Buggy
36	Technic / Model / Off-Road	3001-1	Propeller Buggy
36	Technic / Model / Riding Cycle	3003-1	Motorbike
36	Technic / Model / Race	3005-1	Piston Car
34	Space / UFO	3012-1	Space Hover
34	Space / Spyrius	3013-1	Space Jet
34	Space / Ice Planet 2002	3014-1	Ice Planet Scooter
34	Space / Space Police II	3015-1	Space Police Car
284	Ninja	3016-1	Boss with Cannon
284	Ninja	3017-1	Water Spider polybag
284	Ninja	3018-1	Go! LEGO Shogun
284	Ninja	3019-1	Big Bat polybag
53	Adventurers / Desert	3020-1	Raft of Johnse
53	Adventurers / Desert	3021-1	King Pharaoh the Third
53	Adventurers / Desert	3022-1	Plane of Hurrykain
53	Adventurers / Desert	3023-1	Slyboot Car
36	Technic / Competition	3038-1	Spider Slayer
53	Adventurers / Desert	3039-1	Adventurers Plane
34	Space / Supplemental	305-1	Two Crater Plates
284	Ninja	3050-1	Shanghai Surprise
284	Ninja	3051-1	Blaze Attack
284	Ninja	3052-1	Ninja's Fire Fortress
284	Ninja	3053-1	Emperor's Stronghold
36	Technic / Model / Riding Cycle	3054-1	Motorcycle
53	Adventurers / Desert	3055-1	Adventurers Car
67	Town / Classic Town / Race	3056-1	Go-Kart
34	Space / Supplemental	306-1	Two Lunar Landing Plates
67	Town / Space Port	3066-1	Cosmos Glider
67	Town / Space Port	3067-1	Test Shuttle
67	Town / Space Port	3068-1	Radar Buggy
67	Town / Space Port	3069-1	Cosmic Wing
34	Space / Insectoids	3070-1	Mosquito
34	Space / Insectoids	3071-1	Light Flyer
34	Space / Insectoids	3072-1	Mega Tack
34	Space / Insectoids	3073-1	Booster
284	Ninja	3074-1	Red Ninja's Dragon Glider
284	Ninja	3075-1	Ninja Master's Boat
284	Ninja	3076-1	White Ninja's Attack Cart
284	Ninja	3077-1	Ninja Shogun's Small Fort
102	Scala	3100-1	Sporty SCALA Girl
102	Scala	3101-1	Dressing Up
102	Scala	3102-1	Leisure Wear for Christian
102	Scala	3103-1	Christian in Blue Blazer
102	Scala	3104-1	Caroline in Red Dress
102	Scala	3105-1	Emma in Flower Dress
102	Scala	3106-1	Marie in Rainbow Skirt
102	Scala	3107-1	Andrea in Sun Dress
102	Scala	3108-1	Birthday Accessories
102	Scala	3110-1	Four Animal Friends
102	Scala	3112-1	Baby's Nursery
102	Scala	3114-1	My Place
102	Scala	3115-1	Kitchen
102	Scala	3116-1	Cool Ice Cream Cafe
102	Scala	3117-1	Flashy Pool
102	Scala	3118-1	Funky Fashion Boutique
102	Scala	3119-1	Sunshine Home
102	Scala	3120-1	Additional Room
102	Scala	3130-1	Swinging Stroller
102	Scala	3132-1	Emma
102	Scala	3134-1	Marie in Happy Flowers
102	Scala	3135-1	Olivia in Fancy Wear
102	Scala	3136-1	Christian in Blue Jeans
102	Scala	3137-1	Casual Wear for Christian
102	Scala	3138-1	Fashion Wear for Ladies
102	Scala	3139-1	Windbreaker and Jeans
102	Scala	3140-1	Dancing Circle Dress for Girls
102	Scala	3141-1	Snuggly Baby Wear
102	Scala	3142-1	Marie's Room
102	Scala	3143-1	Camping Trip
102	Scala	3144-1	Horse Stable
102	Scala	3146-1	Carry and Shopping Accessories
102	Scala	3148-1	Carla's Winter Camp
102	Scala	3149-1	Happy Home
102	Scala	3150-1	Puppy Playground
102	Scala	3151-1	Emma on the Move
102	Scala	3152-1	Playroom for the Baby Thomas
102	Scala	3155-1	Olivia in Smooth Dress
102	Scala	3156-1	Hot Wear for Woman
102	Scala	3157-1	Cool Wear for Girls
102	Scala	3158-1	Christian in Tough Wear
102	Scala	3159-1	Celebration
3	Boat / Fire	316-1	Fire Fighter Ship
102	Scala	3200-1	Beauty Studio
102	Scala	3201-1	Living Room
102	Scala	3202-1	Laundry Room
102	Scala	3203-1	Dressing Table
102	Scala	3204-1	Auntie Jane and Cousin Sophie
102	Scala	3205-1	Andrea's Picnic Lunch
102	Scala	3206-1	Emma Making Lunch
102	Scala	3210-1	Party Dress and Accessories
