Category ID	Category Name	Number	Name	Year Released	Weight (in Grams)
9	Castle / Fright Knights	cas032	Fright Knights - Witch with Cape	1997	4.89
9	Castle / Knights Kingdom I	cas033	Knights Kingdom I - Queen Leonora (Maiden with Black Cone Hat)	2000	4.49
9	Castle / Knights Kingdom I	cas034	Knights Kingdom I - Princess Storm, Female Knight	2000	4.08
9	Castle / Knights Kingdom I	cas035	Knights Kingdom I - King Leo	2000	4
9	Castle / Knights Kingdom I	cas036	Knights Kingdom I - Knight 1, Dark Gray Helmet, Black Visor	2000	3
9	Castle / Knights Kingdom I	cas037	Knights Kingdom I - Knight 1	2000	4
9	Castle / Knights Kingdom I	cas039	Knights Kingdom I - Knight 2	2000	4
9	Castle / Knights Kingdom I	cas041	Knights Kingdom I - Gilbert the Bad, Black Dragon Helmet	2000	4
9	Castle / Knights Kingdom I	cas042	Knights Kingdom I - Robber 1, Black Neck-Protector	2000	3.79
9	Castle / Knights Kingdom I	cas043	Knights Kingdom I - Gilbert the Bad, Black Dragon Helmet, Horns	2000	3.89
9	Castle / Knights Kingdom I	cas044	Knights Kingdom I - Robber 2, Black Chin-Guard	2000	3.8
9	Castle / Knights Kingdom I	cas045	Knights Kingdom I - Robber 2, Black Dragon Helmet	2000	3.89
9	Castle / Knights Kingdom I	cas046	Knights Kingdom I - Cedric the Bull (Robber Chief), Black Dragon Helmet, Horns	2000	4.22
284	Ninja	cas048	Ninja - Black	1998	3.83
284	Ninja	cas049	Ninja - Gray	1998	4
284	Ninja	cas050	Ninja - Red	1999	4
284	Ninja	cas051	Ninja - Master	1999	3.71
284	Ninja	cas052	Ninja - Robber, Brown	1998	3.51
284	Ninja	cas053	Ninja - Robber, Green	1998	4
284	Ninja	cas054	Ninja - Samurai, Blue Old	1998	4
284	Ninja	cas055	Ninja - Samurai, Blue Young	1998	3.87
284	Ninja	cas056	Ninja - Shogun, Blue with Armor	1998	4.68
284	Ninja	cas057	Ninja - Shogun, White with Armor	1999	5
284	Ninja	cas058	Ninja - Princess, White	1999	4
9	Castle / Royal Knights	cas059	Royal Knights - King, with black/white legs	1995	4.06
9	Castle / Royal Knights	cas060	Royal Knights - King, with cape and blue legs	1995	4.28
9	Castle / Royal Knights	cas061	Royal Knights - Knight 1, Black Chin-Guard, no Quiver	1996	3.72
9	Castle / Royal Knights	cas063	Royal Knights - Knight 2 with Plume	1995	4.11
9	Castle / Royal Knights	cas064	Royal Knights - Knight 3, Black Neck-Protector	1995	3
9	Castle / Royal Knights	cas065	Royal Knights - Knight 3, Dark Gray Neck-Protector	1996	3
9	Castle / Royal Knights	cas066	Royal Knights - Knight 4, Dark Gray Neck-Protector	1995	3
9	Castle / Royal Knights	cas067	Scale Mail - Red with Black Arms, Blue Legs, Black Grille Helmet, White Plume	1995	5.6
9	Castle	cas072	Castle	?	3.62
9	Castle	cas073	Castle	?	3.62
34	Space / Life on Mars	lom001	Life on Mars (LoM) Martian - Orange Body, Black Legs	2001	2.21
34	Space / Life on Mars	lom002	Life on Mars (LoM) Martian - Orange Body, Orange Legs	2001	2.21
34	Space / Life on Mars	lom003	Life on Mars (LoM) Martian - Altair (Undetermined Torso Color)	?	2.21
34	Space / Life on Mars	lom004	Life on Mars (LoM) Martian - Antares	2001	2.21
34	Space / Life on Mars	lom005	Life on Mars (LoM) Martian - Arcturus	2001	2.21
34	Space / Life on Mars	lom006	Life on Mars (LoM) Martian - Canopus	2001	2.21
34	Space / Life on Mars	lom007	Life on Mars (LoM) Martian - Cassiopeia	2001	2.21
34	Space / Life on Mars	lom008	Life on Mars (LoM) Martian - Centauri	2001	2.21
34	Space / Life on Mars	lom009	Life on Mars (LoM) Martian - Mizar	2001	2.21
34	Space / Life on Mars	lom010	Life on Mars (LoM) Martian - Pollux	2001	2.21
34	Space / Life on Mars	lom011	Life on Mars (LoM) Martian - Rigel	2001	2.21
34	Space / Life on Mars	lom012	Life on Mars (LoM) Martian - Vega	2001	2.21
34	Space / Life on Mars	lom013	Life on Mars (LoM) - Assistant	2001	3.68
34	Space / Life on Mars	lom014	Life on Mars (LoM) - Assistant, Large Visor	2001	4
34	Space / Life on Mars	lom015	Life on Mars (LoM) - BB	2001	4.81
34	Space / Life on Mars	lom016	Life on Mars (LoM) - Doc	2001	4
34	Space / Life on Mars	lom017	Life on Mars (LoM) - Mac	2001	4.81
61	Pirates / Pirates I / Imperial Guards	pi001	Imperial Guard - Admiral	1995	3.74
61	Pirates / Pirates I / Imperial Soldiers	pi004	Imperial Soldier - Governor	1989	3.9
61	Pirates / Pirates I	pi005	Pirate Blue Jacket, Light Gray Legs, Black Pirate Triangle Hat	1989	3.84
61	Pirates / Pirates I	pi006	Pirate Blue Jacket White Legs, Black Pirate Triangle Hat	1993	3.86
61	Pirates / Pirates I	pi008	Pirate Blue Jacket, Light Gray Legs, Brown Pirate Triangle Hat	1989	3.85
61	Pirates / Pirates I	pi009	Pirate Blue Jacket, White Legs, Brown Pirate Triangle Hat	1989	3.9
61	Pirates / Pirates I / Imperial Armada	pi010	Imperial Armada - Red	1996	3.65
61	Pirates / Pirates I	pi012	Pirate Anchor Shirt, Light Gray Legs, Black Bandana	1996	3.4
61	Pirates / Pirates I	pi013	Pirate Anchor Dark Purple Vest, Blue Legs, Red Bandana	1996	3.4
61	Pirates / Pirates I / Imperial Armada	pi014	Imperial Armada - Green	1996	3.68
61	Pirates / Pirates I / Imperial Armada	pi015	Imperial Armada - Green Captain	1997	4.3
61	Pirates / Pirates I / Imperial Armada	pi016	Imperial Armada - Red - Captain	1996	4.37
61	Pirates / Pirates I	pi017	Pirate Blue / White Stripes Shirt, Black Legs, Black Pirate Triangle Hat	1994	4.2
61	Pirates / Pirates I	pi018	Pirate Blue / White Stripes Shirt, Blue Legs, Black Pirate Triangle Hat	1992	3.77
61	Pirates / Pirates I	pi019	Pirate Blue / White Stripes Shirt, White Legs, Blue Bandana	1991	3.51
61	Pirates / Pirates I	pi020	Pirate Blue / White Stripes Shirt, Black Legs, Red Bandana	1995	3.4
61	Pirates / Pirates I	pi021	Pirate Blue / White Stripes Shirt, Blue Legs, Red Bandana, Belt with Gold Buckle	1989	3.41
61	Pirates / Pirates I	pi022	Pirate Shirt with Knife, Black Leg with Peg Leg, Black Pirate Hat with Skull	1994	3.51
61	Pirates / Pirates I	pi023	Pirate Shirt with Knife, Black Leg with Peg Leg, Black Pirate Hat with Skull, Blue Epaulettes	1995	3.66
61	Pirates / Pirates I	pi024	Pirate Shirt with Knife, Black Legs, Brown Pirate Triangle Hat	1996	4
61	Pirates / Pirates I	pi025	Pirate Red / Black Stripes Shirt, Black Legs, Black Pirate Triangle Hat	1992	3.77
61	Pirates / Pirates I	pi026	Pirate Red / Black Stripes Shirt, Blue Legs, Black Pirate Triangle Hat	1995	3.77
53	Adventurers / Jungle	adv001	Achu	1999	5.04
53	Adventurers / Dino Island	adv002	Alexis Sanister / Alexia Sinister	2000	2.97
53	Adventurers / Desert	adv003	Lord Sam Sinister / Baron von Barron - Tan Shirt, Light Gray Legs, White Pith Helmet	1998	3.59
53	Adventurers / Desert	adv004	Lord Sam Sinister / Baron von Barron - Tan Shirt, Light Gray Legs, Brown Aviator Cap, Black Goggles, White Epaulettes	1998	4.65
53	Adventurers / Desert	adv005	Lord Sam Sinister / Baron von Barron - Tan Shirt, Light Gray Legs, Light Gray Aviator Cap, Dark Gray Goggles, White Epaulettes	2000	4.65
53	Adventurers / Desert	adv006	Dr. Kilroy / Dr. Charles Lightning - White Shirt and Suspenders, Green Legs, White Pith Helmet	1998	3.54
53	Adventurers / Jungle	adv008	Gabarro	1999	3.57
53	Adventurers / Desert	adv009	Harry Cane	1998	3.74
53	Adventurers / Desert	adv010	Johnny Thunder (Desert)	1998	3.5
53	Adventurers / Jungle	adv012	Rudo Villano / Max Villano	1999	3.5
53	Adventurers / Dino Island	adv014	Mike	2000	3.5
53	Adventurers / Desert	adv015	Pippin Reed / Miss Gail Storm - Tan Shirt, Red Legs, White Pith Helmet	1998	3.54
53	Adventurers / Jungle	adv016	Pippin Reed / Miss Gail Storm - Green Open Shirt, Red Legs, White Pith Helmet	1999	3.54
53	Adventurers / Dino Island	adv018	Pippin Reed / Miss Gail Storm - Green Open Shirt, Red Legs, Brown Aviator Cap, Black Goggles	2000	3.33
53	Adventurers / Dino Island	adv019	Mr. Cunningham with Black Hips	2000	3.5
53	Adventurers / Dino Island	adv020	Mr. Cunningham with Brown Hips	2000	3.5
53	Adventurers / Desert	adv021	Pharaoh Hotep	1998	3.88
53	Adventurers / Jungle	adv023	Señor Palomar / Señor Gomez {Senor}	1999	3.67
61	Pirates / Pirates I	pi027	Pirate Red / Black Stripes Shirt, Black Legs, Blue Bandana	1992	3.51
61	Pirates / Pirates I	pi028	Pirate Red / Black Stripes Shirt, Blue Legs, Blue Bandana	1993	3.51
61	Pirates / Pirates I	pi029	Pirate Red / Black Stripes Shirt, Green Legs, Blue Bandana	1994	3.51
61	Pirates / Pirates I	pi030	Pirate Red / Black Stripes Shirt, Red Legs, Blue Bandana	1996	3.45
61	Pirates / Pirates I	pi031	Pirate Red / Black Stripes Shirt, Black Legs, Red Bandana	1993	3.51
61	Pirates / Pirates I	pi032	Pirate Red / Black Stripes Shirt, Blue Legs, Red Bandana	1995	3.51
61	Pirates / Pirates I	pi033	Pirate Brown Shirt, Black Legs, Black Pirate Triangle Hat	1996	3.77
61	Pirates / Pirates I	pi034	Pirate Brown Shirt, Green Legs, Black Pirate Triangle Hat	1996	3.77
61	Pirates / Pirates I	pi035	Pirate Brown Shirt, Light Gray Legs, Black Pirate Triangle Hat	1996	3.77
61	Pirates / Pirates I	pi036	Pirate Brown Shirt, Black Leg with Peg Leg, Black Pirate Triangle Hat	1996	3.85
61	Pirates / Pirates I	pi037	Pirate Brown Shirt, Light Gray Legs, Brown Pirate Triangle Hat	1997	3.77
61	Pirates / Pirates I	pi038	Pirate Red / White Stripes Shirt, Black Leg with Peg Leg, Black Pirate Triangle Hat	1992	3.85
61	Pirates / Pirates I	pi039	Pirate Red / White Stripes Shirt, White Legs, Black Pirate Triangle Hat	1992	3.78
61	Pirates / Pirates I	pi040	Pirate Red / White Stripes Shirt, Blue Legs, Blue Bandana	1989	3.43
61	Pirates / Pirates I	pi041	Pirate Red / White Stripes Shirt, Light Gray Legs, Blue Bandana	1989	3.45
61	Pirates / Pirates I	pi042	Pirate Red / White Stripes Shirt, White Legs, Blue Bandana	1989	3.47
61	Pirates / Pirates I	pi043	Pirate Red / White Stripes Shirt, Blue Legs, Red Bandana	1989	3.43
61	Pirates / Pirates I	pi044	Pirate Red / White Stripes Shirt, Light Gray Legs, Red Bandana	1992	3.45
61	Pirates / Pirates I	pi045	Pirate Red / White Stripes Shirt, White Legs, Red Bandana	1989	3.47
61	Pirates / Pirates I	pi046	Pirate Red / White Stripes Shirt, Red Legs, Red Bandana	1989	3.51
61	Pirates / Pirates I	pi047	Pirate Green Vest, Black Legs, Black Bandana	1996	3.51
61	Pirates / Pirates I	pi048	Pirate Green Vest, Black Legs, Brown Pirate Triangle Hat	1997	3.77
61	Pirates / Pirates I	pi049	Pirate Green Vest, Red Legs, Brown Pirate Triangle Hat	1997	3.77
61	Pirates / Pirates I	pi050	Pirate Green Vest, Black Leg with Pegleg, Black Pirate Hat with Skull	1997	3.66
61	Pirates / Pirates I	pi051	Pirate Green Vest, Black Legs, Red Bandana	1996	3.51
61	Pirates / Pirates I	pi052	Pirate Green Vest, Blue Legs, Red Bandana	1996	3.51
61	Pirates / Pirates I	pi053	Pirate Brown Vest Ascot, Light Gray Legs, Black Pirate Triangle Hat	1993	4
61	Pirates / Pirates I	pi054	Pirate Brown Vest Ascot, Blue Legs, Brown Pirate Triangle Hat	1992	3.77
61	Pirates / Pirates I	pi055	Captain Red Beard (Captain Roger) - Brown Epaulettes, Pirate Hat with Skull and Crossbones	1989	3.74
61	Pirates / Pirates I	pi056	Pirate Female, White Legs, Blue Bandana	1989	3.51
61	Pirates / Pirates I	pi057	Pirate Female, Black Legs, Red Bandana	1997	4
61	Pirates / Pirates I	pi058	Pirate Female, White Legs, Red Bandana	1991	3.51
61	Pirates / Pirates I / Imperial Soldiers	pi060	Imperial Soldier - Sailor	1989	3.94
61	Pirates / Pirates I / Imperial Soldiers	pi061	Imperial Soldier	1989	4.44
61	Pirates / Pirates I / Imperial Guards	pi062	Imperial Guard with Blue Epaulettes and Brown Backpack Non-Opening	1992	4.6
61	Pirates / Pirates I / Imperial Soldiers	pi063	Imperial Soldier - Officer	1989	3.94
61	Pirates / Pirates I / Imperial Soldiers	pi064	Imperial Soldier - Harbor Sentry	1989	3.68
61	Pirates / Pirates I / Imperial Guards	pi065	Imperial Guard - Officer	1992	4.1
61	Pirates / Pirates I / Islanders	pi066	Islander, Female	1994	3.88
61	Pirates / Pirates I / Islanders	pi068	Islander, King Kahuka	1994	4.77
61	Pirates / Pirates I / Islanders	pi069	Islander, King, with Black Hair-Piece	1994	3.94
61	Pirates / Pirates I / Islanders	pi070	Islander, Male	1994	4
62	Rock Raiders	rck001	Axel - Trans-Neon Green Visor	1999	3.78
62	Rock Raiders	rck002	Bandit	1999	3.38
62	Rock Raiders	rck003	Docs	1999	3.55
62	Rock Raiders	rck004	Jet - Trans-Neon Green Visor	1999	3.86
62	Rock Raiders	rck005	Sparks	1999	3.78
34	Space / Blacktron I	sp001	Blacktron I	1987	4.18
34	Space / Blacktron II	sp002	Blacktron 2	1991	4.18
34	Space / Classic Space	sp003	Classic Space - Black with Air Tanks	1984	4
34	Space / Classic Space	sp004	Classic Space - Blue with Air Tanks	1984	4
34	Space / Classic Space	sp005	Classic Space - Red with Air Tanks	1979	4
34	Space / Classic Space	sp006	Classic Space - White with Air Tanks	1979	4
34	Space / Classic Space	sp007	Classic Space - Yellow with Air Tanks	1982	4
34	Space / Exploriens	sp008	Exploriens - Dark Gray Helmet and Radio Torso	1996	5
34	Space / Exploriens	sp009	Exploriens Chief	1996	5
34	Space / Exploriens	sp010	Explorien Droid	?	3
34	Space / Exploriens	sp011	Exploriens Droid - Dark Gray Helmet	1996	3.68
34	Space / Exploriens	sp012	Exploriens - Helmet with Breathing Apparatus and Hose Torso	1996	5
34	Space / Futuron	sp013	Futuron - Black	1988	3.68
34	Space / Futuron	sp014	Futuron - Blue	1987	3.68
34	Space / Futuron	sp015	Futuron - Red	1987	3.68
34	Space / Futuron	sp016	Futuron - Yellow	1987	3.68
34	Space / Ice Planet 2002	sp017	Ice Planet - Female (Doctor Kelvin)	1993	4.3
34	Space / Ice Planet 2002	sp018	Ice Planet - Male	1993	4.3
34	Space / Ice Planet 2002	sp019	Ice Planet Chief (Commander Cold / Commander Bear)	1993	4.3
34	Space / Insectoids	sp020	Insectoids Zotaxian Alien - Male, Gray and Black with Green Circuits and Silver Hoses, with Air Tanks (Professor Webb / Locust)	1999	4.86
34	Space / Insectoids	sp021	Insectoids Zotaxian Alien - Male, Gray and Blue with Silver Circuits and Hoses (Lieutenant Maverick)	1998	4.84
34	Space / Insectoids	sp022	Insectoids Zotaxian Alien - Female, Gray and Blue with Silver Circuits, with Air Tanks (Gypsy Moth / Navigator Sharp)	1999	4.86
34	Space / Insectoids	sp023	Insectoids Zotaxian Alien - Male, Black and Blue with Silver Circuits, with Air Tanks (Captain Wizer / Captain Zec)	1999	4.86
34	Space / Insectoids	sp024	Insectoids Zotaxian Alien - Male, Gray and Green with Green Circuits and Silver Panels (Techno Leon)	1998	4.3
34	Space / Insectoids	sp025	Insectoids Zotaxian Alien - Male, Gray and Green with Green Circuits and Silver Hoses, with Air Tanks (Danny Longlegs / Corporal Steel)	1998	4.86
34	Space / Insectoids	sp026	Insectoids Zotaxian Alien - Female, Gray and Blue with Silver Circuits, with Armor (Gypsy Moth / Navigator Sharp)	1998	5.49
34	Space / Insectoids	sp027	Insectoids Zotaxian Alien - Male, Gray and Green with Green Circuits and Silver Hoses, with Black Armor (Danny Longlegs / Corporal Steel)	1998	5.49
34	Space / Insectoids	sp028	Insectoids Zotaxian Alien - Male, Gray and Black with Green Circuits and Silver Hoses, with Armor (Professor Webb / Locust)	1998	5.49
34	Space / Insectoids	sp029	Insectoids Zotaxian Alien - Male, Black and Blue with Silver Circuits, with Armor (Captain Wizer / Captain Zec)	1998	5.49
34	Space / Insectoids	sp030	Insectoids Zotaxian Alien - Male, Gray and Green with Green Circuits and Silver Hoses, with Dark Gray Armor (Danny Longlegs / Corporal Steel)	1998	5.49
34	Space / Insectoids	sp032	Insectoids Droid (Gigabot)	1998	3.65
34	Space / M:Tron	sp033	M:Tron with Air Tanks	1990	4.16
34	Space / RoboForce	sp035	RoboForce Yellow (Chip Nebula)	1997	5
34	Space / Space Police I	sp036	Space Police 1	1989	4.16
34	Space / Space Police II	sp037	Space Police 2	1992	4.14
34	Space / Space Police II	sp038	Space Police 2 Chief (Captain Magenta)	1992	4.31
34	Space / Spyrius	sp039	Spyrius	1994	4.14
34	Space / Spyrius	sp040	Spyrius Chief	1994	4.14
34	Space / Spyrius	sp041	Spyrius Droid (Major Kartofski)	1994	3.47
34	Space / UFO	sp042	UFO Zotaxian Alien - Blue Officer (Commander X)	1997	6
34	Space / UFO	sp043	UFO Droid - Blue (Techdroid 1)	1997	3
34	Space / UFO	sp044	UFO Droid - Red (Techdroid 2)	1997	3
34	Space / UFO	sp045	UFO Zotaxian Alien - Gray Overlord (Alpha Draconis)	1997	6
34	Space / UFO	sp046	UFO Zotaxian Alien - Red Pilot with Armor and Printed Helmet (Chamon)	1997	6
34	Space / UFO	sp047	UFO Zotaxian Alien - Red Pilot with Plain Black Helmet (Chamon)	1998	4.26
34	Space / Unitron	sp048	Unitron	1994	4.14
34	Space / Unitron	sp049	Unitron Chief	1994	4.14
65	Star Wars / Star Wars Episode 4/5/6	sw0002	Boba Fett - Classic Grays	2000	4
65	Star Wars / Star Wars Episode 1	sw0003	Darth Maul - Hood and Cape, Sash without Pouch	1999	4
65	Star Wars / Star Wars Episode 4/5/6	sw0004	Darth Vader (Light Gray Head)	1999	4
65	Star Wars / Star Wars Episode 4/5/6	sw0005	Imperial Scout Trooper - Yellow Head, Dark Gray Torso Print	1999	4.02
65	Star Wars / Star Wars Episode 1	sw0006	Aldar Beedo	2000	4
65	Star Wars / Star Wars Episode 1	sw0007	Anakin Skywalker (Brown Aviator Cap)	1999	4.12
65	Star Wars / Star Wars Episode 1	sw0008	Anakin Skywalker (Light Gray Aviator Cap)	1999	4.12
65	Star Wars / Star Wars Episode 4/5/6	sw0009	Biggs Darklighter - Yellow Head	1999	4
65	Star Wars / Star Wars Episode 4/5/6	sw0010	C-3PO - Pearl Light Gold	2000	3
65	Star Wars / Star Wars Episode 4/5/6	sw0011	Chewbacca (Brown)	2000	4.67
65	Star Wars / Star Wars Episode 4/5/6	sw0012	Dak Ralter with Dark Gray Hips	1999	3.64
65	Star Wars / Star Wars Episode 1	sw0013	Gungan Soldier	2000	4.26
65	Star Wars / Star Wars Episode 4/5/6	sw0014	Han Solo, Blue Legs (Falcon)	2000	3.34
65	Star Wars / Star Wars Episode 4/5/6	sw0015	Han Solo - White Shirt without Wrinkles, Brown Legs	2000	3.36
65	Star Wars / Star Wars Episode 4/5/6	sw0016	Hoth Rebel (Yellow Head, Brown Visor)	1999	4.42
65	Star Wars / Star Wars Episode 1	sw0017	Jar Jar Binks	1999	4.5
65	Star Wars / Star Wars Episode 4/5/6	sw0018	Luke Skywalker (Endor)	1999	3.36
65	Star Wars / Star Wars Episode 4/5/6	sw0019	Luke Skywalker with Dark Gray Hips (Pilot)	1999	4.6
65	Star Wars / Star Wars Episode 4/5/6	sw0020	Luke Skywalker (Skiff)	2000	3.36
65	Star Wars / Star Wars Episode 4/5/6	sw0021	Luke Skywalker (Tatooine)	1999	3.44
65	Star Wars / Star Wars Episode 1	sw0022	Naboo Security Officer	2000	3.4
65	Star Wars / Star Wars Episode 4/5/6	sw0023	Obi-Wan Kenobi with Light Gray Hair (Old)	1999	3.36
65	Star Wars / Star Wars Episode 1	sw0024	Obi-Wan Kenobi (Young with Hood and Cape)	1999	4
65	Star Wars / Star Wars Episode 1	sw0025	Padmé Naberrie (Amidala) (Yellow)	1999	4
65	Star Wars / Star Wars Episode 4/5/6	sw0026	Princess Leia	2000	4
65	Star Wars / Star Wars Episode 1	sw0027	Qui-Gon Jinn (Yellow Head)	1999	3.85
65	Star Wars	sw0028	Astromech Droid, R2-D2	1999	3.7
65	Star Wars	sw0029	Astromech Droid, R5-D4 - Dome Head with Short Red Stripes	1999	4.7
65	Star Wars / Star Wars Episode 4/5/6	sw0030	Rebel Engineer	2000	3.37
65	Star Wars / Star Wars Episode 4/5/6	sw0031	Rebel Pilot A-wing - Yellow Head, Trans-Yellow Visor, Green Jumpsuit	2000	3.68
65	Star Wars / Star Wars Episode 4/5/6	sw0032	Rebel Pilot B-wing (Yellow Head, Light Gray Helmet, Trans-Yellow Visor)	2000	3.68
65	Star Wars / Star Wars Episode 4/5/6	sw0033	Rebel Pilot Y-wing (Jon 'Dutch' Vander, Gold Leader) - Yellow Head, Dark Gray Hips	1999	3.6
65	Star Wars / Star Wars Episode 4/5/6	sw0034	Rebel Technician - Tan Uniform	1999	3.37
69	Western / Cowboys	ww001	Cavalry General	1996	3.68
69	Western / Cowboys	ww002	Cavalry Colonel - Cowboy Hat	1996	3.67
69	Western / Cowboys	ww003	Cavalry Colonel - Cowboy Hat, White Bandana (Colt Carson)	1996	4
69	Western / Cowboys	ww004	Cavalry Colonel - Cavalry Cap, White Bandana	1996	3.7
69	Western / Cowboys	ww005	Cavalry Soldier	1996	3.48
69	Western / Cowboys	ww006	Cavalry Soldier - White Bandana	1996	4
69	Western / Cowboys	ww007	Bandit 1 (Black Bart)	1996	3.9
69	Western / Cowboys	ww008	Bandit 2 (Flatfoot Thompson / Flatfoot Thomsen / Prairie Pete)	1996	3.9
69	Western / Cowboys	ww010	Bandit 3 (Dewey Cheatum)	1996	3.64
69	Western / Cowboys	ww011	Bandit 4	1997	4
69	Western / Cowboys	ww012	Deputy (Zack)	1996	3.67
69	Western / Cowboys	ww013	Cowboy (Flatnose Curry)	1996	3.67
69	Western / Indians	ww014	Indian 2 - Black Quiver	1997	4.16
69	Western / Indians	ww016	Indian 1 - Black Quiver	1997	4.18
69	Western / Indians	ww017	Indian Chief 1 (Big Chief Rattle Snake / Big Chief Rattlesnake)	1997	5
69	Western / Indians	ww018	Indian 4 - Female, Black Quiver	1997	4.14
69	Western / Indians	ww019	Indian Medicine Man	1997	4.28
69	Western / Cowboys	ww020	Banker	1996	3.36
69	Western / Cowboys	ww021	Sheriff (Wild Wyatt West / Duke)	1996	3.67
67	Town / Classic Town	chef007	Chef - Black Legs, Moustache (Undetermined Type)	?	3.8
67	Town / Paradisa	par002	Horse and Palm - Yellow Legs, Black Ponytail Hair	1996	3.57
67	Town / Paradisa	par003	Blue Flowers - White Legs, Black Ponytail Hair	1997	3.57
67	Town / Paradisa	par004	Blue Flowers - Yellow Legs, Black Ponytail Hair	1994	3.57
67	Town / Paradisa	par005	Blue Flowers - Yellow Legs, White Cap	1995	3.37
67	Town / Paradisa	par006	Blue Flowers - Yellow Legs, Red Ponytail Hair	1994	3.57
67	Town / Paradisa	par007	Gray and White Collar - Yellow Legs, Brown Ponytail Hair, Life Jacket	1997	4.28
67	Town / Paradisa	par008	Blue Flowers - Pink Legs, Brown Female Hair	1997	3.33
67	Town / Paradisa	par009	Red Halter Top - Yellow Legs, Black Ponytail Hair, Open Mouth	1992	3.57
67	Town / Paradisa	par010	Red Dots on Pink Shirt - Yellow Legs, Brown Ponytail Hair, Life Jacket	1992	4.28
67	Town / Paradisa	par017a	Red Dots on Pink Shirt - Yellow Legs, Brown Ponytail Hair, Closed Mouth	1992	3.57
67	Town / Paradisa	par012	Red Riding Jacket - White Legs, Black Construction Helmet	1997	3.38
67	Town / Paradisa	par013	Red Riding Jacket - Light Gray Legs, Black Construction Helmet	1986	3.38
67	Town / Paradisa	par014	Red Riding Jacket - Black Legs, Brown Ponytail Hair	1992	3.57
67	Town / Paradisa	par015	Horse Logo - Light Gray Legs, Red Ponytail Hair	1992	3.57
67	Town / Paradisa	par016	Red Dots on Rose Pink Shirt - White Legs, Brown Ponytail Hair, Open Mouth	1993	3.57
67	Town / Paradisa	par017	Red Dots on Pink Shirt - Yellow Legs, Brown Ponytail Hair, Open Mouth	1992	3.57
67	Town / Paradisa	par018	Red Dots on Pink Shirt - White Legs, White Cap	1994	3.37
67	Town / Paradisa	par019	Palm Tree - Yellow Legs, Red Ponytail Hair	1993	3.57
